"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100n","C_0805_2012Metric","162.000000","-119.000000","90.000000","top"
"C2","10u","CP_Elec_4x5.3","153.000000","-126.000000","90.000000","top"
"C3","100n","C_0805_2012Metric","148.000000","-122.000000","90.000000","top"
"J1","BUS","PinHeader_2x12_P2.54mm_Horizontal","153.970000","-138.420000","-90.000000","top"
"J2","GATES OUT","PinHeader_1x10_P2.54mm_Horizontal","128.570000","-104.040000","90.000000","top"
"R1","1k","R_0805_2012Metric","131.110000","-108.300000","90.000000","top"
"R2","1k","R_0805_2012Metric","133.650000","-108.300000","90.000000","top"
"R3","1k","R_0805_2012Metric","136.190000","-108.300000","90.000000","top"
"R4","1k","R_0805_2012Metric","138.730000","-108.300000","90.000000","top"
"R5","1k","R_0805_2012Metric","141.270000","-108.300000","90.000000","top"
"R6","1k","R_0805_2012Metric","143.810000","-108.300000","90.000000","top"
"R7","1k","R_0805_2012Metric","146.350000","-108.300000","90.000000","top"
"R8","1k","R_0805_2012Metric","148.890000","-108.300000","90.000000","top"
"U1","74HCT595","SOIC-16_3.9x9.9mm_P1.27mm","140.000000","-118.500000","180.000000","top"
"U2","AMS1117-5.0","SOT-223-3_TabPin2","162.000000","-126.000000","180.000000","top"
