"Comment","Designator","Footprint","LCSC Part #"
"10u","C1,C3,C5,C7","CP_Elec_4x5.3",""
"100n","C2,C4,C6,C8","C_0805_2012Metric",""
"SLOT 1","J1","PinSocket_2x10_P2.54mm_Vertical",""
"SLOT 2","J2","PinSocket_2x10_P2.54mm_Vertical",""
"SLOT 3","J3","PinSocket_2x10_P2.54mm_Vertical",""
"SLOT 4","J4","PinSocket_2x10_P2.54mm_Vertical",""
"SLOT 5","J5","PinSocket_2x10_P2.54mm_Vertical",""
"SLOT 6","J6","PinSocket_2x10_P2.54mm_Vertical",""
"HUB 1","J7","IDC-Header_2x05_P2.54mm_Vertical",""
"HUB 2","J8","IDC-Header_2x05_P2.54mm_Vertical",""
"PWR IN","J9","IDC-Header_2x05_P2.54mm_Vertical",""
"EXP","J10","PinHeader_2x07_P2.54mm_Vertical",""
"DISPLAY","J11","PinHeader_1x09_P2.54mm_Vertical",""
"QWIIC","J12","PinHeader_1x04_P2.54mm_Vertical",""
"33R","R1,R2","R_0805_2012Metric",""
"2k2","R3,R4","R_0805_2012Metric",""
"Teensy 4.1","U1","",""
"R-78E5.0-0.5","U2","Converter_DCDC_RECOM_R-78E-0.5_THT",""
"AMS1117-3.3","U3","SOT-223-3_TabPin2",""
